threshold,mode,hold_hours,cost,trend_filter_abs_24h,n,win_rate,avg,median,std,sum
0.09,alternating,48,0.0008,0.02,485,0.4824742268041237,-0.0009281071751465868,-0.002007407082513656,0.044979610622164976,-0.45013197994609455
0.0988,raw,1,0.0004,none,1386,0.468975468975469,-0.00018670641966866714,-0.0003682065834427647,0.008583878574095588,-0.25877509766077267
0.0988,raw,1,0.0004,0.02,663,0.4464555052790347,-0.00024718472398642193,-0.000550979606010404,0.007569229115392218,-0.16388347200299774
0.0988,raw,1,0.0006,none,1386,0.45454545454545453,-0.0003867064196686612,-0.0005682065834427646,0.008583878574095588,-0.5359750976607645
0.0988,raw,1,0.0006,0.02,663,0.4253393665158371,-0.0004471847239864197,-0.000750979606010404,0.007569229115392217,-0.29648347200299624
0.0988,raw,1,0.0008,none,1386,0.4365079365079365,-0.0005867064196686727,-0.0007682065834427647,0.008583878574095588,-0.8131750976607804
0.0988,raw,1,0.0008,0.02,663,0.41025641025641024,-0.0006471847239864275,-0.0009509796060104041,0.007569229115392217,-0.42908347200300145
0.0988,raw,4,0.0004,none,1386,0.481962481962482,-0.0004591686087327953,-0.000390378288242443,0.016412569424739086,-0.6364076917036543
0.0988,raw,4,0.0004,0.02,663,0.4766214177978884,-3.011981775587836e-05,-0.0006167450285648353,0.013645759208303326,-0.019969439172147354
0.0988,raw,4,0.0006,none,1386,0.4733044733044733,-0.0006591686087327982,-0.000590378288242443,0.016412569424739086,-0.9136076917036583
0.0988,raw,4,0.0006,0.02,663,0.46907993966817496,-0.0002301198177558704,-0.0008167450285648353,0.013645759208303326,-0.15256943917214208
0.0988,raw,4,0.0008,none,1386,0.4668109668109668,-0.000859168608732794,-0.000790378288242443,0.016412569424739086,-1.1908076917036525
0.0988,raw,4,0.0008,0.02,663,0.46304675716440424,-0.00043011981775587454,-0.0010167450285648353,0.013645759208303326,-0.2851694391721448
0.0988,raw,24,0.0004,none,1385,0.4750902527075812,-0.000634407906114944,-0.001610993158604512,0.03906641902239167,-0.8786549499691974
0.0988,raw,24,0.0004,0.02,663,0.4494720965309201,-0.0010030480362809933,-0.00224436106822794,0.033182434654103865,-0.6650208480542985
0.0988,raw,24,0.0006,none,1385,0.47220216606498194,-0.0008344079061149635,-0.0018109931586045118,0.03906641902239167,-1.1556549499692244
0.0988,raw,24,0.0006,0.02,663,0.4464555052790347,-0.001203048036280994,-0.0024443610682279397,0.033182434654103865,-0.797620848054299
0.0988,raw,24,0.0008,none,1385,0.4700361010830325,-0.0010344079061149587,-0.002010993158604512,0.03906641902239167,-1.4326549499692178
0.0988,raw,24,0.0008,0.02,663,0.4464555052790347,-0.0014030480362809958,-0.00264436106822794,0.033182434654103865,-0.9302208480543003
0.0988,raw,48,0.0004,none,1385,0.496028880866426,-0.0006346218884588656,-0.0006744593858029498,0.04901893070342039,-0.8789513155155289
0.0988,raw,48,0.0004,0.02,663,0.502262443438914,0.0004887046645792203,0.0001347023780694071,0.044515188184438045,0.324011192616023
0.0988,raw,48,0.0006,none,1385,0.4924187725631769,-0.0008346218884588796,-0.0008744593858029498,0.04901893070342039,-1.1559513155155483
0.0988,raw,48,0.0006,0.02,663,0.49924585218702866,0.0002887046645791701,-6.529762193059282e-05,0.044515188184438045,0.19141119261598977
0.0988,raw,48,0.0008,none,1385,0.49097472924187724,-0.0010346218884588795,-0.0010744593858029497,0.04901893070342039,-1.432951315515548
0.0988,raw,48,0.0008,0.02,663,0.497737556561086,8.870466457917721e-05,-0.0002652976219305929,0.044515188184438045,0.05881119261599449
0.0988,alternating,1,0.0004,none,901,0.47058823529411764,-0.00018213502248677662,-0.0002969714921632779,0.008830687453141037,-0.16410365526058573
0.0988,alternating,1,0.0004,0.02,410,0.43902439024390244,-0.000242200614020713,-0.0004817864136574142,0.0075259295608247545,-0.09930225174849233
0.0988,alternating,1,0.0006,none,901,0.4583795782463929,-0.0003821350224867735,-0.0004969714921632778,0.008830687453141037,-0.34430365526058293
0.0988,alternating,1,0.0006,0.02,410,0.4219512195121951,-0.0004422006140207151,-0.0006817864136574142,0.0075259295608247545,-0.18130225174849318
0.0988,alternating,1,0.0008,none,901,0.4406215316315205,-0.0005821350224867834,-0.0006969714921632779,0.008830687453141037,-0.5245036552605918
0.0988,alternating,1,0.0008,0.02,410,0.4097560975609756,-0.0006422006140207104,-0.0008817864136574143,0.0075259295608247545,-0.26330225174849126
0.0988,alternating,4,0.0004,none,901,0.4816870144284129,-6.817211182726755e-05,-0.00034431286218876666,0.017159138739317542,-0.06142307275636806
0.0988,alternating,4,0.0004,0.02,410,0.47560975609756095,0.0005495490809695776,-0.0005857951242942301,0.01345157170244622,0.22531512319752683
0.0988,alternating,4,0.0006,none,901,0.4739178690344062,-0.0002681721118272546,-0.0005443128621887666,0.017159138739317542,-0.24162307275635642
0.0988,alternating,4,0.0006,0.02,410,0.47073170731707314,0.00034954908096958965,-0.0007857951242942301,0.01345157170244622,0.14331512319753176
