trade_no,timestamp,timestamp_kst,direction,gross_return,size,cost,net_return,pnl_amount,capital_before,capital_after,exit_type,exit_timestamp
118,1656532800000,2022-06-30 05:00,short,0.028803503075322645,1.0,0.00055,0.028253503075322647,343.5831475293755,12160.727348159176,12504.310495688553,tp,1656570300000
119,1656666000000,2022-07-01 18:00,long,-0.01914002995430042,1.0,0.00055,-0.019690029954300418,-246.2102482179807,12504.310495688553,12258.100247470573,sl,1656671700000
120,1656885600000,2022-07-04 07:00,short,-0.01239501191528869,1.0,0.00055,-0.01294501191528869,-158.6812537623098,12258.100247470573,12099.418993708263,sl,1656933300000
121,1657702800000,2022-07-13 18:00,long,-0.024273690200136477,1.0,0.00055,-0.024823690200136476,-300.35222870146094,12099.418993708263,11799.066765006803,sl,1657715400000
122,1659578400000,2022-08-04 11:00,long,-0.014018681492012797,1.0,0.00055,-0.014568681492012797,-171.8968456023779,11799.066765006803,11627.169919404425,sl,1659594000000
123,1659704400000,2022-08-05 22:00,short,-0.005420524649499603,1.0,0.00055,-0.005970524649499603,-69.42030460772443,11627.169919404425,11557.749614796701,timeout,1659790800000
124,1660665600000,2022-08-17 01:00,long,-0.013282164339566194,1.0,0.00055,-0.013832164339566194,-159.86869206742585,11557.749614796701,11397.880922729275,sl,1660739100000
125,1660723200000,2022-08-17 17:00,short,0.014362332227297658,1.0,0.00055,0.013812332227297658,157.43131799191474,11397.880922729275,11555.31224072119,timeout,1660809600000
126,1661248800000,2022-08-23 19:00,short,0.004726906701978173,1.0,0.00055,0.004176906701978173,48.26546114171876,11555.31224072119,11603.577701862909,timeout,1661335200000
127,1661320800000,2022-08-24 15:00,long,0.006552079222716944,1.0,0.00055,0.006002079222716944,69.645592633533,11603.577701862909,11673.223294496442,timeout,1661407200000
128,1661392800000,2022-08-25 11:00,long,0.00038509273543430034,1.0,0.00055,-0.0001649072645656997,-1.9249993221600132,11673.223294496442,11671.298295174282,timeout,1661479200000
129,1661421600000,2022-08-25 19:00,short,0.010914184055138554,1.0,0.00055,0.010364184055138554,120.96348369361107,11671.298295174282,11792.261778867893,timeout,1661507700000
130,1661450400000,2022-08-26 03:00,long,-0.01737749388483789,1.0,0.00055,-0.01792749388483789,-211.4057009290617,11792.261778867893,11580.856077938832,sl,1661512200000
131,1661886000000,2022-08-31 04:00,long,0.025829800695982286,1.0,0.00055,0.025279800695982287,292.7617335391488,11580.856077938832,11873.617811477981,tp,1661911200000
132,1661958000000,2022-09-01 00:00,short,-0.012331269790888388,1.0,0.00055,-0.012881269790888389,-152.94727442354562,11873.617811477981,11720.670537054435,sl,1661975400000
133,1662055200000,2022-09-02 03:00,long,0.025066676140472754,1.0,0.00055,0.024516676140472756,287.35188370614446,11720.670537054435,12008.022420760579,tp,1662088500000
134,1662300000000,2022-09-04 23:00,short,-0.013091756825198031,1.0,0.00055,-0.013641756825198031,-163.81052181554162,12008.022420760579,11844.211898945037,sl,1662310200000
135,1662361200000,2022-09-05 16:00,long,0.0050938466635810364,1.0,0.00055,0.004543846663581036,53.81828271976822,11844.211898945037,11898.030181664806,timeout,1662447600000
136,1662422400000,2022-09-06 09:00,long,-0.024299192975627548,1.0,0.00055,-0.024849192975627547,-295.65644801402965,11898.030181664806,11602.373733650777,sl,1662483900000
137,1662480000000,2022-09-07 01:00,short,0.026425229814761142,1.0,0.00055,0.025875229814761144,300.2140867549621,11602.373733650777,11902.587820405739,tp,1662483900000
138,1662649200000,2022-09-09 00:00,long,0.02577678587610266,1.0,0.00055,0.02522678587610266,300.26403431688306,11902.587820405739,12202.851854722621,tp,1662694800000
139,1663185600000,2022-09-15 05:00,long,-0.015004521395846293,1.0,0.00055,-0.015554521395846293,-189.80952026462563,12202.851854722621,12013.042334457996,sl,1663253700000
140,1663380000000,2022-09-17 11:00,long,-9.504395783055397e-05,1.0,0.00055,-0.000645043957830554,-7.748940373004784,12013.042334457996,12005.29339408499,timeout,1663466400000
141,1663516800000,2022-09-19 01:00,long,-0.012292946657571968,1.0,0.00055,-0.012842946657571968,-154.18334266873467,12005.29339408499,11851.110051416255,sl,1663523700000
142,1663617600000,2022-09-20 05:00,long,-0.01329229511755925,1.0,0.00055,-0.01384229511755925,-164.04656280237657,11851.110051416255,11687.06348861388,sl,1663643700000
143,1663675200000,2022-09-20 21:00,long,-0.014643583407757732,1.0,0.00055,-0.015193583407757732,-177.56837390601504,11687.06348861388,11509.495114707865,sl,1663680000000
144,1663776000000,2022-09-22 01:00,short,-0.012872528096768088,1.0,0.00055,-0.013422528096768088,-154.48652155678136,11509.495114707865,11355.008593151084,sl,1663782000000
145,1663819200000,2022-09-22 13:00,long,0.02510779746091929,1.0,0.00055,0.02455779746091929,278.85400119760243,11355.008593151084,11633.862594348686,tp,1663836000000
146,1663923600000,2022-09-23 18:00,short,0.025712958564819144,1.0,0.00055,0.025162958564819145,292.74240241039536,11633.862594348686,11926.60499675908,tp,1663950600000
147,1664121600000,2022-09-26 01:00,long,-0.012011316533982574,1.0,0.00055,-0.012561316533982575,-149.81386054006904,11926.60499675908,11776.791136219012,sl,1664142600000
148,1664157600000,2022-09-26 11:00,long,0.02840612988304758,1.0,0.00055,0.027856129883047583,328.0558234960403,11776.791136219012,12104.846959715052,tp,1664240700000
149,1664186400000,2022-09-26 19:00,short,-0.013139317101282133,1.0,0.00055,-0.013689317101282133,-165.7070884940303,12104.846959715052,11939.139871221023,sl,1664237700000
150,1664474400000,2022-09-30 03:00,short,-0.012325396722079773,1.0,0.00055,-0.012875396722079773,-153.72116236237108,11939.139871221023,11785.418708858651,sl,1664479800000
151,1664553600000,2022-10-01 01:00,short,0.014857250618627416,1.0,0.00055,0.014307250618627415,168.61693911310107,11785.418708858651,11954.035647971752,timeout,1664640000000
